python,sql,pandas,numpy,machine_learning,statistics,data_visualization,scikit_learn,experience_years,education_level,skill_match_percentage,job_readiness
0,1,0,0,1,0,0,1,5,2,38,50.86
1,1,0,1,0,0,1,1,3,1,62,46.45
0,1,1,1,1,0,0,1,3,1,62,50.29
0,0,1,1,1,1,1,1,3,2,75,60.05
1,0,0,1,0,1,1,0,1,1,50,33.98
0,1,0,0,1,1,0,0,1,3,38,38.08
1,0,1,0,0,1,1,0,3,1,50,40.4
0,0,0,1,0,1,0,0,2,3,25,33.52
1,0,0,0,0,0,1,0,2,3,25,41.17
1,0,1,1,1,0,0,1,5,2,62,65.59
0,1,0,0,1,1,1,0,1,3,50,41.52
1,0,0,1,0,0,1,0,2,3,38,39.68
1,1,0,0,1,1,0,1,1,1,62,45.03
1,1,0,0,0,1,1,1,1,2,62,48.03
1,1,1,0,1,0,0,1,0,1,62,37.05
1,1,0,0,1,0,1,0,5,1,50,52.97
0,1,1,0,1,0,1,0,0,1,50,30.81
0,1,1,1,1,0,0,0,3,3,50,55.0
1,0,0,1,0,1,0,1,5,3,50,63.5
0,0,0,0,0,1,0,1,0,2,25,26.6
1,1,1,0,1,0,1,1,2,1,75,53.71
1,1,1,1,0,1,0,0,5,3,62,65.07
1,1,0,0,1,1,1,0,3,2,62,51.89
0,0,0,1,0,0,0,0,1,1,12,14.83
